serial_number;product_model;purchase_date;registration_date;country;source_note
R1119275;2100 7x50 RD;2012-07-25;;ČR;CZ legacy
R1206405; R1r 3-12x56 RD - 4K;2012-07-30;;ČR;CZ legacy
R1206229;R1r 3-12x56 RD;2012-07-27;;ČR;CZ legacy
R1209830;R1r 3-12x56 RD/4C;2012-08-07;;ČR;CZ legacy
1211488;R1r 3-12x56 RD;2012-08-04;;ČR;CZ legacy
R1200144;R1r 3-12x56;2012-06-11;;ČR;CZ legacy
R1119186;2100 7x50 - 4C;2012-07-31;;ČR;CZ legacy
R1203154;R1 7x56 RD;2012-09-03;;ČR;CZ legacy
R1204447;R1 1,5-6x42 RD;2012-09-03;;ČR;CZ legacy
R0609555;R1 1-4x22;2012-08-23;;ČR;CZ legacy
R1206414;R1r 3-12x56 RD - 4K;2012-08-29;;ČR;CZ legacy
R1202427;R1r 3-12x56;2012-08-24;;ČR;CZ legacy
R1204677;2100 3-12x50;2012-07-04;;Slovensko;CZ legacy
R1201068;2100 7x50;2012-08-03;;Slovensko;CZ legacy
R1106343;2000 6x42 - 4;2012-08-27;;ČR;CZ legacy
R1200072;R1 7x56 RD;2012-09-06;;ČR;CZ legacy
R1203236;R1 1,5-6x42 RD;2012-09-04;;ČR;CZ legacy
R1200058;R1 7x56 RD;2012-08-31;;Slovensko;CZ legacy
R1214884;R1r 3-12x56 RD;2012-08-31;;ČR;CZ legacy
R1120389;R1 7x56 RD;2012-09-11;;ČR;CZ legacy
R1111077;R1r 3-12x56 RD;2012-09-19;;ČR;CZ legacy
R1012393;R1 1-4x22 RD;2012-09-21;;ČR;CZ legacy
R1118072;R1 1,5-6x42 RD;2012-08-30;;Slovensko;CZ legacy
R1213194;R1r 3-12x56 RD - 4C;2012-09-18;;ČR;CZ legacy
R1116713;2100 7x50 - 4C;2012-09-04;;ČR;CZ legacy
R1109742;R1 7x56 RD;2012-09-17;;ČR;CZ legacy
R1200087;7x56 RD;2012-07-19;;ČR;CZ legacy
R1118997;7x56 RD;2012-09-14;;ČR;CZ legacy
R1204609;R1 3-12x56 RD - 4C;2012-09-26;;Slovensko;CZ legacy
R1214845;R1r 3-12x56 RD;2012-10-08;;ČR;CZ legacy
R1208782;R1r 3-12x56 RD - 4K;2012-09-11;;ČR;CZ legacy
R1203139;R1 7x56 RD;2012-10-20;;ČR;CZ legacy
R0824859;R1 3-12x56 RD;2012-09-14;;ČR;CZ legacy
R1208385;R1 7x56 RD;2012-10-16;;ČR;CZ legacy
R1210544;2100 7x50;2012-10-16;;ČR;CZ legacy
R1216199;R1 3-10x50;2012-10-08;;ČR;CZ legacy
R1209165;R1 7x56 RD;2012-10-10;;ČR;CZ legacy
R1218809;R1 3-12x56 RD - 4C;2012-10-12;;ČR;CZ legacy
R1200062;7x56 RD;2012-10-15;;ČR;CZ legacy
R1209205;7x56 RD;2012-10-18;;ČR;CZ legacy
R1216676;R1r 3-12x56 RD - 4C;2012-10-04;;ČR;CZ legacy
R1003996;R1r 3-12x56 RD/MR - 4K;2012-10-23;;ČR;CZ legacy
R1210547;2100 7x50;2012-10-26;;Slovensko;CZ legacy
R1217047;R1 7x56 RD;2012-10-30;;ČR;CZ legacy
R1217384;R1r 3-12x56 RD;2012-10-31;;ČR;CZ legacy
R1213195;R1r 3-12x56 RD - 4C;2012-10-29;;ČR;CZ legacy
R1201059;2100 7x50;2012-10-31;;ČR;CZ legacy
R1210477;2100 7x50 - 4C;2012-10-19;;ČR;CZ legacy
R0802047;3000 3-9x40 Z-plex;2012-09-19;;ČR;CZ legacy
R1212161;R1 3-10x50 - 4;2012-11-07;;ČR;CZ legacy
R1210508;2100 7x50 - 4C;2012-11-06;;ČR;CZ legacy
R1217067;R1 7x56 RD - 4C;2012-11-02;;ČR;CZ legacy
R1117299;R1 1-4x22 RD - KD;2012-11-02;;ČR;CZ legacy
R1215568;R1 7x56 - 4;2012-10-04;;Slovensko;CZ legacy
R1105113;R1 7x56 RD - 4C;2012-11-16;;ČR;CZ legacy
R1200807;2000 4x32 - 4;2012-11-07;;Slovensko;CZ legacy
R1213629;R1r 3-12x56 RD - 4C;2012-10-24;;Slovensko;CZ legacy
R1210570;2100 7x50 - 4C;2012-11-20;;ČR;CZ legacy
R1216665;R1r 3-12x56 RD - 4K;2012-11-09;;ČR;CZ legacy
R1215909;R1r 3-12x56 RD - 4C;;;ČR;CZ legacy
R1213254;R1 1,5-6x42 RD - 4C;2012-11-09;;ČR;CZ legacy
R1205066;3-12x56 TACTIC - Mil-Dot;2012-11-27;;ČR;CZ legacy
R1212858;R1r 3-12x56 RD - 4C;2012-10-31;;ČR;CZ legacy
R1217622;2100 7x50 - 4C;2012-11-20;;Slovensko;CZ legacy
R1219128;R1r 3-12x56 RD - 4C;2012-11-29;;ČR;CZ legacy
R1119518;R1r 3-12x56 RD - 4C;2012-11-27;;Slovensko;CZ legacy
R1202417;R1r 3-12x56 RD - 4C;2012-11-13;;ČR;CZ legacy
R1200029;R1 7x56 RD - 4C;2012-09-13;;ČR;CZ legacy
R1221864;R1r 3-12x56 RD - 4C;2012-12-17;;ČR;CZ legacy
R1220305;R1 7x56 RD - 4C;2012-12-13;;ČR;CZ legacy
R1104197;2100 7x50 - 4C;2012-12-28;;Slovensko;CZ legacy
R1208357;R1 7x56 RD - 4C;2012-12-20;;ČR;CZ legacy
R1218768;R1r 3-12x56 RD - 4C;2012-11-16;;ČR;CZ legacy
R0803425;3-9x42;2012-12-20;;ČR;CZ legacy
R1217075;R1 7x56 RD - 4C;2012-12-12;;ČR;CZ legacy
R1217080;R1 7x56 RD - 4C;2012-12-27;;ČR;CZ legacy
R1214538;R1 1,5-6x42 RD - 4C;2012-12-14;;ČR;CZ legacy
R1215531;2000 6x42 - 4;2012-12-13;;ČR;CZ legacy
R1210510;2100 7x50 - 4C;2012-12-10;;ČR;CZ legacy
R1212733;6-24x56 RD - Mil Dot 2;2012-12-13;;ČR;CZ legacy
R0901668;3-12x56 TACTIC - V-Dot;2012-12-14;;ČR;CZ legacy
R1203263;R1 7x56 RD - 4C;2012-12-14;;ČR;CZ legacy
R1202152;2100 7x50 - 4C;2012-11-21;;ČR;CZ legacy
R1111178;R1 7x56 RD - 4C;2012-12-21;;Slovensko;CZ legacy
R1216014;2100 7x50 - 4C;2012-12-27;;Slovensko;CZ legacy
R1218101;R1r 3-12x56 RD - 4K;2012-12-19;;ČR;CZ legacy
R1215984;R1r 3-12x56 RD - 4C;2013-01-18;;ČR;CZ legacy
R0802998;R1 3-12x56 - 1;2013-01-17;;ČR;CZ legacy
R1216264;R1r 3-12x56 RD - 4C;2013-01-16;;ČR;CZ legacy
R1113146;2000 4x32 - 1S;2012-11-19;;Slovensko;CZ legacy
R1202648;R1r 3-12x56 RD - 4C;2012-03-26;;Slovensko;CZ legacy
R1210541;2100 7x50 - 4C;2012-12-19;;ČR;CZ legacy
R1218119;R1r 3-12x56 RD - 4C;2013-01-20;;ČR;CZ legacy
R1219363;R1r 3-12x56 RD - 4C;2013-01-02;;Slovensko;CZ legacy
R1219228;R1r 3-12x56 RD - 4C;2012-12-13;;ČR;CZ legacy
R1218060;R1r 3-12x56 RD - 4C;2013-01-09;;ČR;CZ legacy
R1217337;R1r 3-12x56 RD - 4C;2012-12-14;;ČR;CZ legacy
R1220037;R1r 3-12x56 RD - 4C;2013-01-17;;ČR;CZ legacy
R1215882;3-12x56 RD;2013-01-24;;ČR;CZ legacy
R1219202;R1r 3-12x56 RD;2012-12-17;;Slovensko;CZ legacy
R1216232;R1r 3-12x56 RD - 4C;2013-01-28;;ČR;CZ legacy
R1200246;R1 3-12x56 RD - 4C;2013-01-22;;ČR;CZ legacy
R1201486;R1r 3-12x56 RD/MR - 4K;2013-01-29;;Slovensko;CZ legacy
R1220193;R1 7x56 RD - 4C;2013-02-05;;Slovensko;CZ legacy
R1217971;2100 3-12x50 - 4C;2013-02-01;;Slovensko;CZ legacy
R1220049;R1r 3-12x56 RD - 4C;2013-01-21;;ČR;CZ legacy
R1216837;R1r 3-12x56 RD - 4C;2012-10-18;;ČR;CZ legacy
R1201146;R1r 3-12x56 RD - 4C;2012-06-01;;ČR;CZ legacy
R1217602;2100 7x50 - 4C;2013-02-11;;ČR;CZ legacy
R1219403;R1r 3-12x56 RD - 4C;2013-02-08;;ČR;CZ legacy
R1222022;R1 7x56 RD - 4C;2013-02-11;;ČR;CZ legacy
R1219222;R1r 3-12x56 RD - 4C;2013-02-12;;ČR;CZ legacy
R1217610;2100 7x50 - 4C;7.2.2013;;ČR;CZ legacy
R0824274;R1 7x56 - 1;2013-02-15;;ČR;CZ legacy
R1224679;R1r 3-12x56 RD - 4C;2013-02-19;;Slovensko;CZ legacy
R1220171;R1 7x56 RD - 4C;2013-02-22;;ČR;CZ legacy
R1216329;R1r 3-12x56 RD - 4C;2013-02-26;;Slovensko;CZ legacy
R1116719;2100 7x50 - 4C;2013-02-28;;Slovensko;CZ legacy
R1116667;2100 7x50 - 4C;2013-03-05;;ČR;CZ legacy
R1210426;R1r 3-12x56 RD - 4C;2013-02-26;;ČR;CZ legacy
R1202207;2100 7x50 - 4C;2013-03-11;;Slovensko;CZ legacy
R1222706;R1r 3-12x56 RD - 4K;2013-03-01;;ČR;CZ legacy
R1209213;R1 7x56 RD - 4C;2013-03-04;;ČR;CZ legacy
R1217046;R1 7x56 RD - 4C;2013-03-14;;ČR;CZ legacy
R1221405;R1 1-4x22 RD - KD;2013-03-11;;Slovensko;CZ legacy
