serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
R1322039;MeoStar R1r 3-12x56 RD;2014-01-21;2014-01-21;pl;MSO CZ;;;;;;;;;;;
R1319156;MeoStar R1r 3-12x56 RD;2014-01-21;2014-01-22;cz;MSO CZ;;;;;;;;;;;
R1321853;MeoStar R1 1-4x22 RD;2014-01-23;2014-01-23;cz;MSO CZ;;;;;;;;;;;
R1321855;MeoStar R1 1-4x22 RD;2014-01-22;2014-01-23;cz;MSO CZ;;;;;;;;;;;
R1321684;MeoStar R1r 3-12x56 RD;2014-01-19;2014-01-24;cz;MSO CZ;;;;;;;;;;;
R1322048;MeoStar R1r 3-12x56 RD;2014-01-24;2014-01-26;cz;MSO CZ;;;;;;;;;;;
R1322048;MeoStar R1r 3-12x56 RD;2014-01-24;2014-01-26;cz;MSO CZ;;;;;;;;;;;
R1322048;MeoStar R1r 3-12x56 RD;2014-01-24;2014-01-26;cz;MSO CZ;;;;;;;;;;;
P/3/58/2;MeoStar R1r 3-12x56 RD/MR;2014-01-21;2014-01-26;cz;MSO CZ;;;;;;;;;;;
R1318909;MeoStar R1r 3-12x56 RD;2014-01-17;2014-01-26;cz;MSO CZ;;;;;;;;;;;
R1319284;MeoStar R2 2.5-15x56 RD;2014-01-27;2014-01-27;cz;MSO CZ;;;;;;;;;;;
R1321738;MeoStar R1r 3-12x56 RD;2014-01-26;2014-01-27;cz;MSO CZ;;;;;;;;;;;
R1322037;MeoStar R1r 3-12x56 RD;2014-01-24;2014-01-27;cz;MSO CZ;;;;;;;;;;;
R1311434;ZD 6-24x56;2014-01-24;2014-01-28;cz;MSO CZ;;;;;;;;;;;
133812;MeoStar B1 8x56;2014-01-28;2014-01-28;cz;MSO CZ;;;;;;;;;;;
R1322651;MeoStar R1r 3-12x56 RD;2014-01-20;2014-01-29;;MSO CZ;;;;;;;;;;;
134128;MeoStar B1 10x42 HD;2014-01-15;2014-01-29;cz;MSO CZ;;;;;;;;;;;
R1220237;MeoStar R1 7x56 RD;2014-01-18;2014-02-01;cz;MSO CZ;;;;;;;;;;;
R1421855;MeoStar R2 2.5-15x56 RD;2014-11-27;2014-11-28;ez;MSO CZ;;;;;;;;;;;
R1320228;R1r 3-12x56 RGD;2014-01-30;2014-02-02;cz;MSO CZ;;;;;;;;;;;
R1321714;MeoStar R1 3-12x56 RD;2014-01-10;2014-02-02;cz;MSO CZ;;;;;;;;;;;
R1314484;MeoStar R1 3-12x56 RD;2014-02-04;2014-02-04;pl;MSO CZ;;;;;;;;;;;
R1314484;MeoStar R1 3-12x56 RD;2014-02-04;2014-02-04;pl;MSO CZ;;;;;;;;;;;
R1319166;MeoStar R1r 3-12x56 RD;2014-02-03;2014-02-04;cz;MSO CZ;;;;;;;;;;;
R1119270;Artemis 2100 7x50 RD;2014-02-03;2014-02-05;cz;MSO CZ;;;;;;;;;;;
133862;MeoStar B1 10x42 HD;2014-01-30;2014-02-05;it;MSO CZ;;;;;;;;;;;
R1319191;MeoStar R1r 3-12x56 RD;2014-02-05;2014-02-05;cz;MSO CZ;;;;;;;;;;;
R1322041;MeoStar R1r 3-12x56 RD;2014-02-04;2014-02-05;cz;MSO CZ;;;;;;;;;;;
R1320275;R1r 3-12x56 RGD;2014-02-03;2014-02-07;;MSO CZ;;;;;;;;;;;
R1321697;MeoStar R1r 3-12x56 RD;2014-01-25;2014-02-09;cz;MSO CZ;;;;;;;;;;;
R1303296;R1r 3-12x56 RGD;2014-02-06;2014-02-09;dr;MSO CZ;;;;;;;;;;;
R1118417;MeoStar R1 3-12x56;2014-01-31;2014-02-11;cz;MSO CZ;;;;;;;;;;;
P1322066;MeoStar R1r 3-12x56 RD;2014-02-06;2014-02-12;cz;MSO CZ;;;;;;;;;;;
30050;TGA 75;2014-02-10;2014-02-12;cz;MSO CZ;;;;;;;;;;;
R1319199;MeoStar R1r 3-12x56 RD;2014-02-10;2014-02-12;cz;MSO CZ;;;;;;;;;;;
R1217087;MeoStar R1 4-16x44 Tactic;2014-02-10;2014-02-13;cz;MSO CZ;;;;;;;;;;;
R1320189;MeoStar R2 2.5-15x56 RD;2014-02-13;2014-02-13;cz;MSO CZ;;;;;;;;;;;
R1316456;MeoStar R1r 3-12x56 RD;2014-02-13;2014-02-13;cz;MSO CZ;;;;;;;;;;;
R1321720;MeoStar R1r 3-12x56 RD;2014-02-14;2014-02-14;cz;MSO CZ;;;;;;;;;;;
R1321705;MeoStar R1r 3-12x56 RD;2014-02-14;2014-02-14;cz;MSO CZ;;;;;;;;;;;
R1322560;MeoStar R1r 3-12x56 RD/MR;2014-01-31;2014-02-14;pl;MSO CZ;;;;;;;;;;;
R1401782;MeoStar R1r 3-12x56 RD;2014-02-13;2014-02-15;cz;MSO CZ;;;;;;;;;;;
R1401803;MeoStar R1r 3-12x56 RD;2014-02-13;2014-02-15;cz;MSO CZ;;;;;;;;;;;
R0715532;MeoStar R1 1-4x22 RD;2014-02-03;2014-02-15;cz;MSO CZ;;;;;;;;;;;
R1321943;MeoStar R1 3-12x56 RD;2014-02-18;2014-02-18;cz;MSO CZ;;;;;;;;;;;
R1313277;MeoStar R1 7x56 RD;2014-02-17;2014-02-18;cz;MSO CZ;;;;;;;;;;;
R1313106;Artemis 2100 7x50 RD;2014-02-07;2014-02-18;cz;MSO CZ;;;;;;;;;;;
R1322969;MeoStar R1r 3-12x56 RD;2014-02-17;2014-02-19;pl;MSO CZ;;;;;;;;;;;
R1322981;MeoStar R1r 3-12x56 RD;2014-02-19;2014-02-19;pl;MSO CZ;;;;;;;;;;;
R1322996;MeoStar R1r 3-12x56 RD;2014-02-19;2014-02-19;pl;MSO CZ;;;;;;;;;;;
R1220956;MeoStar R1r 3-12x56 RD;2014-01-21;2014-02-19;cz;MSO CZ;;;;;;;;;;;
R1222113;ZD 6-24x56;2014-01-22;2014-02-20;cz;MSO CZ;;;;;;;;;;;
R1322633;MeoStar R1r 3-12x56 RD;2014-02-19;2014-02-20;cz;MSO CZ;;;;;;;;;;;
R1309435;R1r 3-12x56 RGD;2014-02-20;2014-02-20;cz;MSO CZ;;;;;;;;;;;
R1320277;R1r 3-12x56 RGD;2014-02-20;2014-02-20;pl;MSO CZ;;;;;;;;;;;
R1315213;R1r 3-12x56 RGD;0000-00-00;2014-02-20;pl;MSO CZ;;;;;;;;;;;
R1310114;MeoStar R1 7x56 RD;2014-02-10;2014-02-22;cz;MSO CZ;;;;;;;;;;;
133755;MeoStar B1 8x56;2014-01-31;2014-02-23;cz;MSO CZ;;;;;;;;;;;
R1322646;MeoStar R1r 3-12x56 RD;2014-02-22;2014-02-23;cz;MSO CZ;;;;;;;;;;;
R1319288;MeoStar R2 2.5-15x56 RD;2014-02-19;2014-02-23;cz;MSO CZ;;;;;;;;;;;
R1320225;MeoStar R1 3-12x56 RD;2014-02-08;2014-02-23;cz;MSO CZ;;;;;;;;;;;
R1320973;MeoStar R1r 3-12x56 RD;0000-00-00;2014-02-25;pl;MSO CZ;;;;;;;;;;;
R1320879;MeoStar R1r 3-12x56 RD;2014-02-26;2014-02-27;cz;MSO CZ;;;;;;;;;;;
R1206979;MeoStar R1r 3-12x56 RD;2014-02-03;2014-02-27;cz;MSO CZ;;;;;;;;;;;
R1323001;MeoStar R1r 3-12x56 RD/MR;2014-02-27;2014-02-27;cz;MSO CZ;;;;;;;;;;;
R1321937;MeoStar R1r 3-12x56 RD;2014-02-28;2014-02-28;cz;MSO CZ;;;;;;;;;;;
R1309285;MeoStar R1 1,5-6x42 RD;2014-02-27;2014-02-28;cz;MSO CZ;;;;;;;;;;;
R1316197;R1r 3-12x56 RGD;2014-02-28;2014-03-01;cz;MSO CZ;;;;;;;;;;;
120228;MeoStar B1 10x42 HD;2014-02-13;2014-03-01;cz;MSO CZ;;;;;;;;;;;
R1322653;MeoStar R1r 3-12x56 RD;2014-02-19;2014-03-02;cz;MSO CZ;;;;;;;;;;;
R1322537;MeoStar R1r 3-12x56 RD/MR;2014-02-07;2014-03-02;gm;MSO CZ;;;;;;;;;;;
122837;MeoStar B1 8x42;2014-02-24;2014-03-03;cz;MSO CZ;;;;;;;;;;;
R1209186;MeoStar R1 7x56 RD;2014-02-10;2014-03-04;cz;MSO CZ;;;;;;;;;;;
P1316815;MeoStar R1 3-12x56 RD;2014-02-27;2014-03-04;cz;MSO CZ;;;;;;;;;;;
R1308892;MeoStar R1 1,5-6x42 RD;2014-03-06;2014-03-06;pl;MSO CZ;;;;;;;;;;;
R1323003;MeoStar R1r 3-12x56 RD;2014-02-18;2014-03-06;cz;MSO CZ;;;;;;;;;;;
R1400375;MeoStar R2 2.5-15x56 RD;2014-03-06;2014-03-06;cz;MSO CZ;;;;;;;;;;;
R1322122;R1r 3-12x56 RGD;2014-02-20;2014-03-06;cz;MSO CZ;;;;;;;;;;;
R1322119;R1r 3-12x56 RGD;2014-03-05;2014-03-07;cz;MSO CZ;;;;;;;;;;;
R1314502;MeoStar R1 3-12x56 RD;2014-03-08;2014-03-08;pl;MSO CZ;;;;;;;;;;;
R1323091;MeoStar R1r 3-12x56 RD;2014-03-06;2014-03-08;cz;MSO CZ;;;;;;;;;;;
133368;MeoStar B1 10x42 HD;2014-02-26;2014-03-09;cz;MSO CZ;;;;;;;;;;;
R1322632;MeoStar R1r 3-12x56 RD;2014-02-07;2014-03-09;cz;MSO CZ;;;;;;;;;;;
140347;MeoStar B1 10x42 HD;2014-03-03;2014-03-10;cz;MSO CZ;;;;;;;;;;;
R1322649;MeoStar R1r 3-12x56 RD;2014-03-10;2014-03-10;cz;MSO CZ;;;;;;;;;;;
R1215434;MeoStar R1 1-4x22 RD;2014-03-10;2014-03-11;cz;MSO CZ;;;;;;;;;;;
R1316487;MeoStar R1 3-12x56 RD;2014-02-24;2014-03-11;cz;MSO CZ;;;;;;;;;;;
R1319349;MeoStar R2 2.5-15x56 RD;2014-03-12;2014-03-13;gm;MSO CZ;;;;;;;;;;;
R1322960;MeoStar R1r 3-12x56 RD;2014-03-12;2014-03-13;cz;MSO CZ;;;;;;;;;;;
R1404214;MeoStar R1r 3-12x56 RD;2014-03-12;2014-03-13;cz;MSO CZ;;;;;;;;;;;
R1319165;MeoStar R1r 3-12x56 RD;2014-03-14;2014-03-16;cz;MSO CZ;;;;;;;;;;;
R1315228;R1r 3-12x56 RGD;2014-03-14;2014-03-16;cz;MSO CZ;;;;;;;;;;;
R1310085;MeoStar R1 7x56 RD;2014-03-12;2014-03-16;cz;MSO CZ;;;;;;;;;;;
R1222493;MeoStar R1r 3-12x56 RD/MR;2014-03-01;2014-03-16;cz;MSO CZ;;;;;;;;;;;
S1300187;MeoStar S2 82 HD Angled / Šikmý;2014-02-18;2014-03-17;cz;MSO CZ;;;;;;;;;;;
R1314498;MeoStar R1 3-12x56 RD;2014-03-17;2014-03-17;pl;MSO CZ;;;;;;;;;;;
R1113389;MeoStar R1 7x56;2014-03-14;2014-03-18;cz;MSO CZ;;;;;;;;;;;
R1321987;MeoStar R2 2.5-15x56 RD;2014-03-17;2014-03-18;cz;MSO CZ;;;;;;;;;;;
R1211177;MeoStar R1 7x56;2014-03-18;2014-03-18;;MSO CZ;;;;;;;;;;;
R1402500;MeoStar R1r 3-12x56 RD;2014-03-19;2014-03-19;pl;MSO CZ;;;;;;;;;;;
R1322650;MeoStar R1r 3-12x56 RD;2014-02-26;2014-03-19;cz;MSO CZ;;;;;;;;;;;
134135;MeoStar B1 8x56;2014-03-17;2014-03-19;cz;MSO CZ;;;;;;;;;;;
140408;MeoStar B1 8x56;2014-03-17;2014-03-19;cz;MSO CZ;;;;;;;;;;;
R1322229;MeoStar R1r 3-12x56 RD;2014-03-20;2014-03-20;pl;MSO CZ;;;;;;;;;;;
R1305304;MeoStar R1 7x56 RD;2014-03-17;2014-03-20;cz;MSO CZ;;;;;;;;;;;
R1218125;MeoStar R1r 3-12x56 RD/MR;2014-03-01;2014-03-20;gm;MSO CZ;;;;;;;;;;;
R1401941;MeoStar R1r 3-12x56 RD;2014-03-21;2014-03-21;pl;MSO CZ;;;;;;;;;;;
R1308938;MeoStar R1 1,5-6x42 RD;2014-03-22;2014-03-22;sw;MSO CZ;;;;;;;;;;;
R1322687;MeoStar R1r 3-12x56 RD;2014-03-14;2014-03-23;cz;MSO CZ;;;;;;;;;;;
R1402578;MeoStar R1 3-12x56 RD;2014-03-21;2014-03-23;cz;MSO CZ;;;;;;;;;;;
R1323105;MeoStar R1r 3-12x56 RD;2014-03-18;2014-03-24;cz;MSO CZ;;;;;;;;;;;
R1314428;MeoStar R1 3-12x56 RD;2014-03-24;2014-03-24;pl;MSO CZ;;;;;;;;;;;
R1320300;MeoStar R1 3-12x56 RD;2014-02-22;2014-03-24;cz;MSO CZ;;;;;;;;;;;
130496;MeoSight II 30;2014-03-19;2014-03-25;cz;MSO CZ;;;;;;;;;;;
R1320893;MeoStar R1r 3-12x56;2014-03-20;2014-03-25;pl;MSO CZ;;;;;;;;;;;
R1319229;MeoStar R1 3-12x56 RD;2014-03-19;2014-03-25;cz;MSO CZ;;;;;;;;;;;
R1405491;MeoStar R1r 3-12x56 RD;2014-03-18;2014-03-26;cz;MSO CZ;;;;;;;;;;;
R1312512;ZD 6-24x56;2014-02-25;2014-03-27;cz;MSO CZ;;;;;;;;;;;
R1321589;MeoStar R2 2.5-15x56 RD;2014-03-26;2014-03-28;cz;MSO CZ;;;;;;;;;;;
R1319537;MeoStar R1 1-4x22 RD;2014-03-28;2014-03-28;cz;MSO CZ;;;;;;;;;;;
R1405535;MeoStar R1r 3-12x56 RD;2014-03-29;2014-03-29;pl;MSO CZ;;;;;;;;;;;
134293;MeoStar B1 8x56;2014-03-17;2014-03-30;cz;MSO CZ;;;;;;;;;;;
R1323034;MeoStar R1r 3-12x56 RD;2014-03-31;2014-03-31;cz;MSO CZ;;;;;;;;;;;
R1321696;MeoStar R1r 3-12x56 RD;2014-03-21;2014-04-01;cz;MSO CZ;;;;;;;;;;;
R1320261;R1r 3-12x56 RGD;2014-04-01;2014-04-01;pl;MSO CZ;;;;;;;;;;;
R1401807;R1r 3-12x56 RGD;2014-03-20;2014-04-01;cz;MSO CZ;;;;;;;;;;;
R1401807;R1r 3-12x56 RGD;2014-03-20;2014-04-01;cz;MSO CZ;;;;;;;;;;;
R1308117;MeoStar R1r 3-12x56 RD;2014-03-06;2014-04-01;cz;MSO CZ;;;;;;;;;;;
133379;MeoStar B1 10x42 HD;2014-04-01;2014-04-01;cz;MSO CZ;;;;;;;;;;;
133689;MeoStar B1 10x42 HD;2014-03-21;2014-04-02;cz;MSO CZ;;;;;;;;;;;
140190;MeoStar B1 8x56;2014-04-01;2014-04-02;cz;MSO CZ;;;;;;;;;;;
R1403550;MeoStar R1r 3-12x56 RD;2014-04-03;2014-04-03;pl;MSO CZ;;;;;;;;;;;
R1216757;MeoStar R1r 3-12x56 RD;2014-04-02;2014-04-04;cz;MSO CZ;;;;;;;;;;;
R1321612;MeoStar R1 7x56 RD;2014-04-01;2014-04-04;cz;MSO CZ;;;;;;;;;;;
R1402597;MeoStar R1r 3-12x56 RD;2014-04-05;2014-04-05;cz;MSO CZ;;;;;;;;;;;
R1402706;R1r 3-12x56 RGD;2014-04-02;2014-04-05;cz;MSO CZ;;;;;;;;;;;
R1316755;MeoStar R1r 3-12x56 RD;2014-04-03;2014-04-07;cz;MSO CZ;;;;;;;;;;;
R1320261;R1r 3-12x56 RGD;2014-04-01;2014-04-07;pl;MSO CZ;;;;;;;;;;;
R1321957;MeoStar R1r 3-12x56 RD;2014-04-05;2014-04-07;pl;MSO CZ;;;;;;;;;;;
R1320261;R1r 3-12x56 RGD;2014-04-01;2014-04-07;pl;MSO CZ;;;;;;;;;;;
R1320267;MeoStar R1r 3-12x56 RD/MR;2014-04-02;2014-04-07;pl;MSO CZ;;;;;;;;;;;
R1319227;MeoStar R1r 3-12x56 RD;2014-03-14;2014-04-08;cz;MSO CZ;;;;;;;;;;;
R1316755;MeoStar R1r 3-12x56 RD;2014-03-10;2014-04-08;cz;MSO CZ;;;;;;;;;;;
R1402645;MeoStar R1r 3-12x56 RD;2014-04-02;2014-04-08;cz;MSO CZ;;;;;;;;;;;
R1400407;MeoStar R2 2.5-15x56 RD;2014-04-02;2014-04-09;cz;MSO CZ;;;;;;;;;;;
132598;MeoStar B1 10x50;2014-03-11;2014-04-10;cz;MSO CZ;;;;;;;;;;;
R1310886;Artemis 2100 3-12x50 RD;2014-04-10;2014-04-10;pl;MSO CZ;;;;;;;;;;;
R1319187;MeoStar R1 3-12x56 RD;2014-04-11;2014-04-11;cz;MSO CZ;;;;;;;;;;;
R1404315;MeoStar R1r 3-12x56 RD;2014-04-11;2014-04-11;pl;MSO CZ;;;;;;;;;;;
R1323035;MeoStar R1r 3-12x56 RD;2014-04-04;2014-04-12;cz;MSO CZ;;;;;;;;;;;
R1402590;MeoStar R1r 3-12x56 RD;2014-04-12;2014-04-12;pl;MSO CZ;;;;;;;;;;;
R1406245;MeoStar R1 7x56;2014-04-12;2014-04-12;cz;MSO CZ;;;;;;;;;;;
R1321700;MeoStar R1 3-12x56 RD;2014-03-24;2014-04-12;cz;MSO CZ;;;;;;;;;;;
R1401814;R1r 3-12x56 RGD;2014-03-14;2014-04-13;cz;MSO CZ;;;;;;;;;;;
R1401810;R1r 3-12x56 RGD;2014-04-01;2014-04-13;cz;MSO CZ;;;;;;;;;;;
R1321293;Artemis 2100 7x50 RD;2014-03-14;2014-04-13;cz;MSO CZ;;;;;;;;;;;
134299;MeoStar B1 8x56;2014-03-29;2014-04-13;cz;MSO CZ;;;;;;;;;;;
R1402598;MeoStar R1r 3-12x56 RD;2014-04-08;2014-04-14;cz;MSO CZ;;;;;;;;;;;
R1205027;Artemis 3000 3-9x42;2014-04-10;2014-04-15;cz;MSO CZ;;;;;;;;;;;
R1319784;Artemis 2100 7x50 RD;2014-04-11;2014-04-15;cz;MSO CZ;;;;;;;;;;;
R1402524;MeoStar R1r 3-12x56 RD;2014-04-15;2014-04-15;cz;MSO CZ;;;;;;;;;;;
R1401816;R1r 3-12x56 RGD;2014-03-21;2014-04-15;cz;MSO CZ;;;;;;;;;;;
R1323080;MeoStar R1r 3-12x56 RD;2014-04-15;2014-04-15;pl;MSO CZ;;;;;;;;;;;
R1402935;MeoStar R1r 3-12x56 RD;2014-04-15;2014-04-15;cz;MSO CZ;;;;;;;;;;;
R140258;MeoStar R1r 3-12x56 RD;2014-04-15;2014-04-16;cz;MSO CZ;;;;;;;;;;;
R1315168;MeoStar R1 1-4x22 RD;2014-04-17;2014-04-17;pl;MSO CZ;;;;;;;;;;;
R1319296;MeoStar R2 2.5-15x56 RD;2014-03-18;2014-04-17;cz;MSO CZ;;;;;;;;;;;
133740;MeoStar B1 10x42 HD;2014-04-18;2014-04-18;cz;MSO CZ;;;;;;;;;;;
20176;MeoStar S1 75 Straight / Přímý;2014-03-25;2014-04-18;cz;MSO CZ;;;;;;;;;;;
R1322959;MeoStar R1r 3-12x56 RD;2014-04-19;2014-04-19;cz;MSO CZ;;;;;;;;;;;
R1014725;ZD 3-12x50 Tactic;2014-04-18;2014-04-19;;MSO CZ;;;;;;;;;;;
R1402704;R1r 3-12x56 RGD;2014-04-01;2014-04-20;cz;MSO CZ;;;;;;;;;;;
R1404732;MeoStar R2 2.5-15x56 RD;2014-03-25;2014-04-21;cz;MSO CZ;;;;;;;;;;;
R1402699;R1r 3-12x56 RGD;2014-04-01;2014-04-21;cz;MSO CZ;;;;;;;;;;;
R1402512;MeoStar R1r 3-12x56 RD;2014-04-22;2014-04-22;pl;MSO CZ;;;;;;;;;;;
R1401847;R1r 3-12x56 RGD;2014-03-31;2014-04-22;cz;MSO CZ;;;;;;;;;;;
R1407395;R1r 3-12x56 RGD;2014-04-18;2014-04-23;cz;MSO CZ;;;;;;;;;;;
R1319106;MeoStar R1r 3-12x56 RD;2014-04-18;2014-04-23;cz;MSO CZ;;;;;;;;;;;
R1402652;MeoStar R1r 3-12x56 RD;2014-04-25;2014-04-25;pl;MSO CZ;;;;;;;;;;;
R1402816;MeoStar R1r 3-12x56 RD;2014-04-25;2014-04-25;cz;MSO CZ;;;;;;;;;;;
130859;MeoStar B1 8x56;2014-04-24;2014-04-25;cz;MSO CZ;;;;;;;;;;;
R1404182;MeoStar R1r 3-12x56 RD;2014-04-16;2014-04-25;cz;MSO CZ;;;;;;;;;;;
R1303373;R1r 3-12x56 RGD;2014-04-25;2014-04-26;cz;MSO CZ;;;;;;;;;;;
R1405785;MeoStar R1r 3-12x56 RD;2014-04-14;2014-04-26;pl;MSO CZ;;;;;;;;;;;
R1402606;MeoStar R1r 3-12x56 RD;2014-03-28;2014-04-26;cz;MSO CZ;;;;;;;;;;;
141374;MeoStar B1 8x56;2014-04-24;2014-04-26;pl;MSO CZ;;;;;;;;;;;
R1404223;MeoStar R1r 3-12x56 RD;2014-04-18;2014-04-26;cz;MSO CZ;;;;;;;;;;;
R1322639;MeoStar R1r 3-12x56 RD;2014-04-09;2014-04-27;cz;MSO CZ;;;;;;;;;;;
R1310714;MeoStar R1 1,5-6x42 RD;2014-03-29;2014-04-28;cz;MSO CZ;;;;;;;;;;;
R1404323;MeoStar R1r 3-12x56 RD;2014-04-25;2014-04-28;cz;MSO CZ;;;;;;;;;;;
R1402667;MeoStar R1r 3-12x56 RD;2014-04-13;2014-04-28;cz;MSO CZ;;;;;;;;;;;
140817;MeoStar B1 10x50;2014-04-07;2014-04-28;cz;MSO CZ;;;;;;;;;;;
R1210394;MeoStar R1r 3-12x56 RD;2014-04-22;2014-04-29;cz;MSO CZ;;;;;;;;;;;
R1406247;MeoStar R1 7x56;2014-04-02;2014-04-30;cz;MSO CZ;;;;;;;;;;;
R1404870;MeoStar R2 2.5-15x56 RD;2014-04-25;2014-04-30;cz;MSO CZ;;;;;;;;;;;
R1312339;MeoStar R1 1-4x22 RD/MR;2014-04-30;2014-04-30;;MSO CZ;;;;;;;;;;;
R1214583;MeoStar R1 1,5-6x42 RD;2014-04-25;2014-05-02;cz;MSO CZ;;;;;;;;;;;
R1404967;MeoStar R1r 3-12x56 RD;2014-05-02;2014-05-02;cz;MSO CZ;;;;;;;;;;;
134270;MeoStar B1 8x56;2014-05-02;2014-05-02;cz;MSO CZ;;;;;;;;;;;
R1220693;MeoStar R1r 3-12x56 RD;2014-04-03;2014-05-03;cz;MSO CZ;;;;;;;;;;;
R1405572;MeoStar R1r 3-12x56 RD;0000-00-00;2014-05-03;pl;MSO CZ;;;;;;;;;;;
R1405572;MeoStar R1r 3-12x56 RD;2014-04-15;2014-05-03;pl;MSO CZ;;;;;;;;;;;
R1323079;MeoStar R1r 3-12x56 RD;2014-04-14;2014-05-03;cz;MSO CZ;;;;;;;;;;;
R1322643;MeoStar R1r 3-12x56 RD;2014-04-04;2014-05-04;cz;MSO CZ;;;;;;;;;;;
R1320273;R1r 3-12x56 RGD;2014-05-03;2014-05-05;;MSO CZ;;;;;;;;;;;
R1408068;MeoStar R1r 3-12x56 RD;2014-05-06;2014-05-06;pl;MSO CZ;;;;;;;;;;;
R1401193;MeoStar R2 1-6x24 RD;2014-05-06;2014-05-06;sz;MSO CZ;;;;;;;;;;;
R1319225;MeoStar R1r 3-12x56 RD;2014-04-17;2014-05-06;cz;MSO CZ;;;;;;;;;;;
R1410117;MeoStar R1r 3-12x56 RD;2014-05-07;2014-05-07;pl;MSO CZ;;;;;;;;;;;
R1402586;MeoStar R1r 3-12x56 RD;2014-05-07;2014-05-07;cz;MSO CZ;;;;;;;;;;;
R1404474;MeoStar R2 2.5-15x56 RD;2014-05-07;2014-05-07;;MSO CZ;;;;;;;;;;;
P1213793;Artemis 2100 7x50 RD;2014-05-07;2014-05-08;cz;MSO CZ;;;;;;;;;;;
R1402661;MeoStar R1r 3-12x56 RD;0000-00-00;2014-05-09;pl;MSO CZ;;;;;;;;;;;
R1111184;MeoStar R1 7x56 RD;2014-04-13;2014-05-10;cz;MSO CZ;;;;;;;;;;;
140316;MeoStar B1 8x56;2014-05-02;2014-05-11;cz;MSO CZ;;;;;;;;;;;
R1321173;MeoStar R1r 3-12x56 RD;2014-04-24;2014-05-11;;MSO CZ;;;;;;;;;;;
R1402824;MeoStar R1r 3-12x56 RD;2014-05-12;2014-05-12;pl;MSO CZ;;;;;;;;;;;
R1404953;MeoStar R1r 3-12x56 RD;2014-04-15;2014-05-12;pl;MSO CZ;;;;;;;;;;;
R1404406;MeoStar R2 2.5-15x56 RD;2014-05-12;2014-05-12;cz;MSO CZ;;;;;;;;;;;
R1319230;MeoStar R1r 3-12x56;2014-05-05;2014-05-13;cz;MSO CZ;;;;;;;;;;;
R1322766;MeoStar R2 2.5-15x56 RD;2014-04-29;2014-05-13;cz;MSO CZ;;;;;;;;;;;
R1319230;MeoStar R1r 3-12x56;2014-05-05;2014-05-13;cz;MSO CZ;;;;;;;;;;;
134240;MeoStar B1 8x56;2014-05-14;2014-05-14;cz;MSO CZ;;;;;;;;;;;
130669;MeoStar B1 8x56;2014-05-07;2014-05-14;cz;MSO CZ;;;;;;;;;;;
133343;MeoStar B1 8x56;2014-05-15;2014-05-15;cz;MSO CZ;;;;;;;;;;;
R1402794;MeoStar R1 3-12x56 RD;2014-04-28;2014-05-15;cz;MSO CZ;;;;;;;;;;;
R1402591;MeoStar R1r 3-12x56 RD;2014-05-14;2014-05-15;cz;MSO CZ;;;;;;;;;;;
133241;MeoStar B1 10x50;2014-05-14;2014-05-15;cz;MSO CZ;;;;;;;;;;;
R1404965;MeoStar R1r 3-12x56 RD;2014-05-14;2014-05-15;cz;MSO CZ;;;;;;;;;;;
R1323155;MeoStar R1r 3-12x56 RD;2014-05-07;2014-05-16;cz;MSO CZ;;;;;;;;;;;
R1322479;MeoStar R2 2.5-15x56 RD;2014-04-18;2014-05-16;cz;MSO CZ;;;;;;;;;;;
R1403706;Artemis 2100 7x50 RD;2014-05-16;2014-05-18;cz;MSO CZ;;;;;;;;;;;
R1409130;MeoStar R2 2.5-15x56 RD;2014-05-16;2014-05-18;cz;MSO CZ;;;;;;;;;;;
R1408027;MeoStar R1r 3-12x56 RD;2014-05-19;2014-05-19;pl;MSO CZ;;;;;;;;;;;
134207;MeoStar B1 10x42 HD;2014-05-16;2014-05-19;cz;MSO CZ;;;;;;;;;;;
134207;MeoStar B1 10x42 HD;2014-05-16;2014-05-19;cz;MSO CZ;;;;;;;;;;;
R1405582;MeoStar R1r 3-12x56 RD;2014-05-06;2014-05-23;cz;MSO CZ;;;;;;;;;;;
R1322138;R1r 3-12x56 RGD;2014-05-22;2014-05-23;cz;MSO CZ;;;;;;;;;;;
R1319237;MeoStar R1r 3-12x56 RD;2014-05-23;2014-05-24;cz;MSO CZ;;;;;;;;;;;
R1317192;MeoStar R1 1-4x22;2014-05-21;2014-05-25;cz;MSO CZ;;;;;;;;;;;
R1404215;MeoStar R1r 3-12x56 RD;2014-05-26;2014-05-26;pl;MSO CZ;;;;;;;;;;;
R1403586;MeoStar R1r 3-12x56 RD;2014-05-22;2014-05-26;cz;MSO CZ;;;;;;;;;;;
R1404290;MeoStar R1r 3-12x56 RD;2014-05-27;2014-05-27;cz;MSO CZ;;;;;;;;;;;
R1323063;MeoStar R1r 3-12x56 RD;2014-05-27;2014-05-27;cz;MSO CZ;;;;;;;;;;;
R1404192;MeoStar R1r 3-12x56 RD;2014-05-28;2014-05-28;cz;MSO CZ;;;;;;;;;;;
140173;MeoStar B1 8x56;2014-05-26;2014-05-29;cz;MSO CZ;;;;;;;;;;;
141679;MeoStar B1 10x42 HD;2014-05-29;2014-05-29;cz;MSO CZ;;;;;;;;;;;
R1401780;MeoStar R1r 3-12x56 RD;2014-05-13;2014-05-29;pl;MSO CZ;;;;;;;;;;;
