serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
R1216762;MeoStar R1r 3-12x56;2012-11-11;2012-12-04;cz;MSO CZ;;;;;;;;;;;
R1218064;MeoStar R1r 3-12x56 RD;2012-12-03;2012-12-04;cz;MSO CZ;;;;;;;;;;;
R1217641;Artemis 2100 7x50 RD;2012-12-03;2012-12-05;cz;MSO CZ;;;;;;;;;;;
R1 1398;MeoStar R1r 3-12x56 RD;2012-11-29;2012-12-06;cz;MSO CZ;;;;;;;;;;;
R1217469;MeoStar R1r 3-12x56 RD;2012-11-23;2012-12-07;cz;MSO CZ;;;;;;;;;;;
R1218807;MeoStar R1r 3-12x56 RD;2012-12-10;2012-12-10;cz;MSO CZ;;;;;;;;;;;
R1200014;MeoStar R1 7x56 RD;2012-12-04;2012-12-11;cz;MSO CZ;;;;;;;;;;;
R1200080;MeoStar R1 7x56 RD;2012-12-11;2012-12-11;cz;MSO CZ;;;;;;;;;;;
121851;MeoStar B1 7x50;2012-11-29;2012-12-13;cz;MSO CZ;;;;;;;;;;;
R1204247;Artemis 2000 7x50;2012-12-13;2012-12-16;cz;MSO CZ;;;;;;;;;;;
R1214543;MeoStar R1 1,5-6x42 RD;2012-12-13;2012-12-16;cz;MSO CZ;;;;;;;;;;;
R1219253;MeoStar R1r 3-12x56 RD;2012-12-16;2012-12-17;cz;MSO CZ;;;;;;;;;;;
R1219251;MeoStar R1r 3-12x56 RD;2012-12-14;2012-12-17;pl;MSO CZ;;;;;;;;;;;
R1210423;MeoStar R1r 3-12x56 RD;2012-12-18;2012-12-18;cz;MSO CZ;;;;;;;;;;;
R0912687;MeoStar R1 7x56;2012-12-11;2012-12-18;cz;MSO CZ;;;;;;;;;;;
10105;TGA 75;2012-12-17;2012-12-19;cz;MSO CZ;;;;;;;;;;;
90138;TGA 75;2012-12-17;2012-12-19;cz;MSO CZ;;;;;;;;;;;
R0913230;Artemis 2000 7x50;2012-12-18;2012-12-19;cz;MSO CZ;;;;;;;;;;;
R1219210;MeoStar R1r 3-12x56 RD;2012-12-18;2012-12-19;cz;MSO CZ;;;;;;;;;;;
R1119933;Artemis 2000 6x42;2012-12-19;2012-12-19;cz;MSO CZ;;;;;;;;;;;
R1220223;MeoStar R1 7x56 RD;2012-12-20;2012-12-20;cz;MSO CZ;;;;;;;;;;;
R1218187;MeoStar R1r 3-12x56 RD;2012-12-20;2012-12-21;cz;MSO CZ;;;;;;;;;;;
R1219247;MeoStar R1r 3-12x56 RD;2012-12-21;2012-12-21;pl;MSO CZ;;;;;;;;;;;
R1219104;MeoStar R1r 3-12x56 RD;2012-12-06;2012-12-22;cz;MSO CZ;;;;;;;;;;;
114266;MeoStar B1 8x56;2012-12-21;2012-12-22;cz;MSO CZ;;;;;;;;;;;
R1218877;MeoStar R1r 3-12x56 RD;2012-12-19;2012-12-23;cz;MSO CZ;;;;;;;;;;;
R1218796;MeoStar R1r 3-12x56 RD;2012-12-10;2012-12-23;cz;MSO CZ;;;;;;;;;;;
R1222336;MeoStar R1r 3-12x56 RD;2012-12-19;2012-12-24;cz;MSO CZ;;;;;;;;;;;
R1109345;ZD 3-12x56;2012-11-26;2012-12-25;cz;MSO CZ;;;;;;;;;;;
R1219240;MeoStar R1r 3-12x56 RD;2012-12-21;2012-12-27;cz;MSO CZ;;;;;;;;;;;
114290;MeoStar B1 7x50;2012-12-28;2012-12-29;cz;MSO CZ;;;;;;;;;;;
123194;MeoStar B1 10x50;2012-12-07;2012-12-29;cz;MSO CZ;;;;;;;;;;;
R1117330;MeoStar R1r 3-12x56 RD;2012-12-20;2012-12-31;cz;MSO CZ;;;;;;;;;;;
R1117330;MeoStar R1r 3-12x56 RD;2012-12-20;2012-12-31;cz;MSO CZ;;;;;;;;;;;
R1219362;MeoStar R1r 3-12x56 RD;2012-12-31;2013-01-01;cz;MSO CZ;;;;;;;;;;;
R1222424;MeoStar R1r 3-12x56 RD/MR;2012-12-18;2013-01-02;cz;MSO CZ;;;;;;;;;;;
R1211679;ZD 6-24x56;2012-12-27;2013-01-03;cz;MSO CZ;;;;;;;;;;;
R1219238;MeoStar R1r 3-12x56 RD;2012-12-21;2013-01-03;cz;MSO CZ;;;;;;;;;;;
124925;MeoStar B1 8x56;2012-12-18;2013-01-05;cz;MSO CZ;;;;;;;;;;;
R1210545;Artemis 2000 7x50;2012-12-19;2013-01-06;cz;MSO CZ;;;;;;;;;;;
R1220183;MeoStar R1 7x56 RD;2012-12-19;2013-01-06;cz;MSO CZ;;;;;;;;;;;
124708;MeoStar B1 8x56;2012-12-11;2013-01-06;cz;MSO CZ;;;;;;;;;;;
R1213780;Artemis 2100 7x50 RD;2012-12-21;2013-01-07;cz;MSO CZ;;;;;;;;;;;
R1110881;MeoStar R1 7x56 RD;2012-12-19;2013-01-07;cz;MSO CZ;;;;;;;;;;;
120893;MeoSight II 30;2013-01-08;2013-01-10;pl;MSO CZ;;;;;;;;;;;
R1015729;MeoStar R1r 3-12x56 RD/MR;2013-01-07;2013-01-10;do;MSO CZ;;;;;;;;;;;
R1222256;MeoStar R1r 3-12x56 RD;2013-01-09;2013-01-10;cz;MSO CZ;;;;;;;;;;;
R1118152;MeoStar R1r 3-12x56 RD;2013-01-11;2013-01-11;cz;MSO CZ;;;;;;;;;;;
R1217637;Artemis 2100 7x50 RD;2013-01-09;2013-01-12;cz;MSO CZ;;;;;;;;;;;
R1109351;MeoStar R1 1-4x22 RD/MR;2013-01-07;2013-01-13;gm;MSO CZ;;;;;;;;;;;
80178;MeoStar S1 75 Straight / Přímý;2013-01-07;2013-01-14;cz;MSO CZ;;;;;;;;;;;
R1117562;MeoStar R1r 3-12x56 RD/MR;2013-01-14;2013-01-14;cz;MSO CZ;;;;;;;;;;;
R0819265;MeoStar R1 7x56;2013-01-08;2013-01-16;pl;MSO CZ;;;;;;;;;;;
R1209122;MeoStar R1r 3-12x56 RD/MR;2013-01-08;2013-01-16;pl;MSO CZ;;;;;;;;;;;
R1210545;Artemis 2000 7x50;2012-12-19;2013-01-16;cz;MSO CZ;;;;;;;;;;;
112530;MeoStar B1 8x56;2013-01-16;2013-01-17;cz;MSO CZ;;;;;;;;;;;
R1100934;MeoStar R1 3-12x56 RD;2013-01-11;2013-01-17;cz;MSO CZ;;;;;;;;;;;
R1219403;MeoStar R1r 3-12x56 RD;2013-01-17;2013-01-18;pl;MSO CZ;;;;;;;;;;;
R1220197;MeoStar R1 7x56 RD;2012-12-19;2013-01-18;cz;MSO CZ;;;;;;;;;;;
R1220248;MeoStar R1 7x56 RD;2013-01-02;2013-01-20;cz;MSO CZ;;;;;;;;;;;
R1219154;MeoStar R1 3-12x56 RD;2012-12-28;2013-01-20;cz;MSO CZ;;;;;;;;;;;
R1208502;MeoStar R1 1,5-6x42 RD;2013-01-07;2013-01-21;cz;MSO CZ;;;;;;;;;;;
R1218252;MeoStar R1r 3-12x56 RD;2013-01-10;2013-01-22;cz;MSO CZ;;;;;;;;;;;
114027;MeoStar B1 8x56;2013-01-24;2013-01-24;cz;MSO CZ;;;;;;;;;;;
R1218552;MeoStar R1 1-4x22 RD;2013-01-24;2013-01-24;cz;MSO CZ;;;;;;;;;;;
R1218749;MeoStar R1r 3-12x56 RD;2013-01-21;2013-01-26;cz;MSO CZ;;;;;;;;;;;
R1219394;MeoStar R1r 3-12x56 RD;2013-01-15;2013-01-29;pl;MSO CZ;;;;;;;;;;;
R1219385;MeoStar R1r 3-12x56 RD;2013-01-19;2013-01-30;cz;MSO CZ;;;;;;;;;;;
R1222954;MeoStar R1r 3-12x56 RD;2013-01-24;2013-02-01;cz;MSO CZ;;;;;;;;;;;
R1217435;MeoStar R1r 3-12x56 RD;2013-01-24;2013-02-01;cz;MSO CZ;;;;;;;;;;;
R1218562;MeoStar R1 1-4x22 RD;2013-01-31;2013-02-02;cz;MSO CZ;;;;;;;;;;;
S1200247;MeoStar S2 82 HD Angled / Šikmý;2013-01-31;2013-02-03;cz;MSO CZ;;;;;;;;;;;
S1200690;MeoStar S2 82 HD Angled / Šikmý;2013-01-31;2013-02-03;cz;MSO CZ;;;;;;;;;;;
R1214367;ZD 6-24x56;2013-01-31;2013-02-03;cz;MSO CZ;;;;;;;;;;;
R1218109;MeoStar R1r 3-12x56 RD;2013-01-28;2013-02-03;cz;MSO CZ;;;;;;;;;;;
13682;MeoStar R1 3-12x56 RD;2013-01-07;2013-02-04;cz;MSO CZ;;;;;;;;;;;
R1116690;Artemis 2100 7x50 RD;2013-02-04;2013-02-04;cz;MSO CZ;;;;;;;;;;;
125478;MeoStar B1 10x42 HD;2013-02-04;2013-02-05;;MSO CZ;;;;;;;;;;;
